job_title,company,location,job_summary,post_date,more_info,salary,job_url
DevOps H/F,Nexton Consulting FR,Paris (75),"Description de l'offre 

 NEXTON recrute un DEVOPS H/F , en CDI , à Paris ! 

 Qui sommes-nous ? 

 NEXTON c’est avant tout une entreprise qui accompagne ses clients dans leur transformation digitale. Tous les jours, nous travaillons avec des grands comptes et des pures players (SNCF, Orange, BNP PARIBAS…). 

 Nous sommes experts du digital aussi bien sur de l’accompagnement stratégique qu’opérationnel. 

 Fort du succès, Nexton connaît aujourd’hui un développement significatif, autour de ses valeurs piliers : cohésion, professionnalisme et performance. 

 Et pour vous ? Notre politique de développement des compétences dynamique saura vous séduire avec un programme de suivi de carrière sur-mesure. 


Le contexte :
 Nous recherchons pour notre client spécialisé dans le secteur des Transports, un profil DevOps disposant d'une expérience significative sur le cloud AWS. 


Vos missions :
 Au sein d'un collectif d'experts, les activités et missions sont orientées sur : 



S'assurer du bon fonctionnement de notre dataplateforme (datalake + datahub)
Réaliser des actions d'amélioration continue
Participer au développement et optimisation de notre portail d'accès (API)
Être support technique AWS aux autres membres de l'équipe

Contribuer à la vie de l'équipe et du projet:


Être acteur des cérémonies agiles
Participer à la réalisation des éléments du backlog
Être force de proposition sur l'amélioration continue
 Les plus 
EKS, Kafka, EC2, VPC et Glue 

 AWS, Git, Linux, Kubernetes",PostedOffre publiée il y a 2 jour,CDI,,https://www.indeed.com/rc/clk?jk=63ce337a31c3498d&fccid=fd1831126d38aa58&vjs=3
Tech Lead DevOps / Freelance,Phaidon International (UK) Ltd,Paris (75),"Glocomms travaille actuellement avec une société multinationale de services et de conseil en technologies de l’information qui recherche un DevOps Tech Lead pour entreprendre une mission indépendante à long terme basée à Paris. 


Rôle : responsable technique DevOps 

Lieu : Paris (3 jours à distance, 2 jours sur site) 

Durée du contrat : 12 mois (potentiellement renouvelable) 

Début : dès que possible 

Langues : français uniquement 

 Role 

 Vous aurez besoin de solides connaissances en devops pour manager et former votre staff junior sur les bonnes pratiques et aussi pour améliorer l’automatisation du paramétrage 
Sur lequel il interviendra c’est du côté legacy et de la plateforme cloud sur openshift aux côtés d’Azure et d’AWS 
Assistance niveau 3 et niveau 4 
Modèle agile à proposer à nos client 
Création de pipelines CI/CD via des fichiers Jenkins 
Revue de code et partage des bonnes pratiques. 

 Environnement technique 

 Jenkins, Git, Nexus, Python, CI/CD, Openshift, AWS OU Azure et plus etc.",PostedOffre publiée il y a 1 jour,701 € par jourTemps plein +1,701 € par jour,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHHRM07jvZ_9CBb8QXW1-TjD3eGHqqfxA2uagtxfXOarXqP_IanWTdE2Rku-oimkQeeqELFjQ5jmp1EHUB0njnV6NrJ2nDJ4X1ODnxCFcGTO-jSopdXdw68Fctf_tzoqUrW5Vg7NWrHUQ3DKg08DNsrETknt50j4WSEsHQNlb0PUDnyoRrI-JPa_ooWprTLS7G4AZG-7wNslHgpippCZW-E4Gpdf5y1jL2PCYxsWvgWRUE5NmwqvJGC5oNlc4kDA0YOLSzvdKGPeke2nKm7TAxGr91Vqu8fHfHVTjSEMVY3NzUrhcGpZk9nHjSdD0ZV6zeFFGLyng3QONCiKUQQ5UvnwAlDC6z-1JLFO-AjTxhQl9kcXeLOVJ3QYS84C_rxCiX2NNy_Bj7GiE9wiwSxevKXFt3bzwBPMyADgXOizfrEA2A4ey3Kh38DZVOEIb-Z6bnRaPDUzA6_hl7xwvcMdq0rGx2-9lxicchJjShku6u2Wdb3n-bt5DXA2UfYtZyIw6KdAH2qn65J6wjRF_gNRrnY4pgIaYvNYu3aVty41cSjL7iEToQthVytcbOwtr0ax8hpSQfYUEtrvQZLLVKrJ9RBYtrNKMLdD6rUcxNIjP4NkeZUNCP0wi8HPoQA7jzYcf0p_qQIbLp9_5eXozKgZjX_AY1j2_oNpQ=&xkcb=SoCi-_M3ZBRltXR_lR0LbzkdCdPP&p=11&fvj=0&vjs=3
FORMATEUR DÉVELOPPEUR DEVOPS - ROUEN (H/F),INNOVATION DEVELOPPEMENT FORMATION,Rouen (76),"ID Formation recrute un formateur/une formatrice en développement informatique pour intervenir sur un TP Développeur DevOps à Rouen. Vous accompagnez et formez les stagiaires sur tout ou partie des différents modules : 1. Phase de réception d'un projet suite à l'action d'avant-vente par l'équipe Devops à l'aide d'un outil de gestion de projet ; 2. Phase plan, exécution de tâches, préparation du livrable, architecture de l'application ; 3. Les garanties de la qualité du projet ; 4. Création du livrable avec les outils ; 5. Mise en production du livrable sur Cloud ; 6. Test et déploiement. Ce que nous proposons ? Salaire : Selon profil Avantages : Prime de participation, CE, Mutuelle, prise en charge des frais de transports à hauteur de 50%. Vous vous reconnaissez dans ce poste ? Postulez et rejoignez notre équipe Paris île de France ! Profil : Formateur/ Formatrice aguerri(e) en tant que DévOps ou Développeur Informatique (H/F) expérimenté(e), vous êtes passionné(e) et patient avec un bon sens du relationnel, vous êtes animé(e) par l'envie de transmettre vos compétences sur ce métier d'avenir à des passionnés. Notre offre : - CDD d'usage de 9 mois, 35 heures/semaine (dont 30h en face à face et 5 heures de préparation). Matériel et locaux adaptés à la formation. - Intégration et formation sur nos outils, notre fonctionnement et nos process. - Un accompagnement tout au long de votre mission par nos équipes. 


Profil souhaité
Expérience

2 ansCette expérience est indispensable

Compétences

Analyser les besoins du client
 Concevoir et développer les programmes et applications informatiques
 Déterminer des mesures correctives
 Rédiger une Spécification Technique de Besoin (STB)
 Établir un cahier des charges

Savoir-être professionnels

Force de proposition
 Sens de l'organisation
 Rigueur

Informations complémentaires

Qualification : Agent de maîtrise
 Secteur d'activité : Formation continue d'adultes

Entreprise


INNOVATION DEVELOPPEMENT FORMATION 
 200 à 249 salariés 


      Site internet
    

      https://id-formation.com/recrutement/
    


 ID Formation est une SCOP dont le siège social est basé à Lille (59) et implantée au niveau National sur plus de 122 lieux de formation. Depuis 1994, ID Formation ?uvre pour la formation tout au long de la vie et accompagne les adultes sur le projet professionnel, la formation et le retour à L'emploi.



",PostedOffre publiée il y a 1 jour,De 22 000 € à 26 000 € par anTemps plein +1Travail en journée,De 22 000 € à 26 000 € par an,https://www.indeed.com/rc/clk?jk=3195887a87ec5f24&fccid=cda0dee8804355ec&vjs=3
Alternant H/F DevOps / Site Reliability Engineer,Ophelia Sensors,75015 Paris 15e,"Ophelia Sensors, est une startup de l'écosystème IoT proposant les solutions les plus précises de mesures de mouvements et de déformations. Nous sommes à la recherche d'un.e DevOps / Site Reliability Engineer.
Fondée en 2018, Ophelia Sensors développe et commercialise des systèmes de capteurs capables, sur la base d'informations satellitaires, de mesurer des déplacements millimétriques en temps réel. Ces réseaux de capteurs sont aujourd'hui utilisés pour la surveillance d’infrastructures, le suivi de mouvements de terrain ou encore le monitoring de chantier. Nos solutions, Geocube et K2, sont aujourd'hui déployées dans de nombreux pays, tant par de grands groupes industriels que par de petites structures spécialisées. Des milliers de capteurs Ophelia Sensors surveillent en continu une large gamme de sites divers autour du monde.
L’alternance s’articulera autour de :

l’amélioration des processus de déploiement (Ansible, Docker, CI/CD) de plusieurs projets stratégiques de l’entreprise
l’enrichissement de la stack de monitoring (à la fois métier et infrastructure)
l’amélioration des performances de bases de données
l’établissement d'une infrastructure de stockage des données pour une future utilisation big data

Entièrement intégré.e à la dynamique de l’entreprise, la qualité de son travail et la pertinence de ses suggestions permettrons d’améliorer la confiance et la sûreté des systèmes.
Notre équipe est aujourd'hui composée de 7 collaborateurs. Nos bureaux sont situés dans le 15ème arrondissement (Métro La Motte - Piquet Grenelle).
La personne recherchée est quelqu’un d’autonome, capable de prendre des initiatives. Un intérêt pour l'internet des objets (IoT) et l’état d’esprit DevOps est préférable.
Une période de formation de plusieurs semaines est prévue avec la personne en poste actuellement.
Compétences clés (à posséder ou à vouloir acquérir) :
Gitlab CI, Ansible, Docker, AWS / Scaleway, Linux, Python, Grafana, PostgreSQL
Type d'emploi : Alternance, Temps partiel
Salaire : 1 500,00€ à 2 000,00€ par mois
Avantages :

Horaires flexibles
Participation au Transport

Programmation :

Périodes de travail de 8 heures
Travail en journée

Capacité à faire le trajet ou à déménager:

Paris 15e: Faire le trajet sans problème ou prévoir un déménagement avant de prendre son poste (Exigé)
",EmployerDernière activité : il y a 1 jour,De 1 500 € à 2 000 € par moisTemps partiel +1Périodes de travail de 8 heures +1,De 1 500 € à 2 000 € par mois,https://www.indeed.com/company/Ophelia-Sensors/jobs/Alternant-Devops-776010f88f778494?fccid=0e07525fb7dcf40e&vjs=3
Devops Engineer - H/F,JCDecaux,92200 Neuilly-sur-Seine,"Au sein de la nouvelle Direction Data, chargée de l'exploitation et de la valorisation des données à travers l'ensemble des filiales du Groupe, nous recherchons un Ingénieur Cloud DevOps pour intégrer une équipe dynamique en forte croissance composée de Data Engineers, Data Scientists, Full stack développeurs, UI/UX designer, Product Owners. 


Votre quotidien sera rythmé par les missions suivantes :


Designer, implémenter et automatiser les déploiements sur notre infrastructure AWS
Automatiser nos chaînes CI/CD dans différents types de projets (Application WEB, Machine Learning, Streaming …)
Automatiser la surveillance / alerte en direct en fonction des métriques.
Conseiller l'équipe sur l'automatisation des processus, l'optimisation des coûts et le choix des solutions
Garantir la cohérence et l'évolutivité en continu des stacks de notre infrastructure
Assurer la veille technologique Vous aurez la chance de participer à la mise en place de cette Direction, et interviendrez sur la valorisation de la chaîne Data à nos côtés
 Titulaire d'une formation bac+5 minimum (grande école d'ingénieur ou équivalente), vous justifiez d'une première expérience significative de 2 ans au minimum. 

 Curieux des sujets de la Data, passionné par ses utilisations, avec un esprit innovant et autonome, vous cherchez à relever un défi et êtes motivé par les challenges en perspective. 


Les qualités et compétences suivantes sont essentielles :


Connaissance avancée de l'écosystème AWS
Maitrise des outils d'automatisation tel que CloudFormation, Terraform, CDK, Ansible et Packer
Connaissance des containers (Docker, ECS, EKS)
Vous êtes passionné par les nouvelles technologies
Vous avez l'esprit d'équipe
 Un niveau d'anglais courant est indispensable pour ce poste à forte dimension internationale",PostedOffre publiée il y a plus de 30 jours,CDI,,https://www.indeed.com/rc/clk?jk=aa828c8fb7b42647&fccid=0c0b40e05d9690ed&vjs=3
Devops,PIT,59000 Lille,"WANTED DEVOPS
Tu es une véritable rockstar de l'IT ?
En pleine croissance, nous sommes à la recherche d'un(e) OPS pour de nouveaux projets palpitants. Si tu souhaites travailler dans la bonne humeur, dans un esprit familial tu es tombé(e) au bon endroit , et si tu aimes les parties de baby foot ;-) tu ne seras pas déçu(e) !
Notre ESN c’est : 

14 passionnés
De l’expertise
Des projets créatifs
Du partage
De l'adaptabilité
La maîtrise de l’humour
Enfin pour l’humour, ça sera à toi d’en juger.

Ton profil va nous taper dans l’oeil si : 

Tu as au moins 3 ans d’expériences côté infra
Tu as déjà participé à des projets dans les domaines fonctionnels suivants : retail, banque, assurance, web, …
Tu sais analyser et concevoir des solutions techniques et adapter tes choix au contexte client
Tu as le sens du service et tu es sensible aux besoins du end-user
Tu maîtrises l’anglais technique

Ça va matcher si : 

OPS, tu es à l'aise avec des outils tel que Terraform et Ansible
Tu maîtrises également un clouder (AWS, Azure, GCP) ainsi qu'un CI/CD (Jenkins, Docker,...)
Tu connais un langage de programmation (Shell, Bash, go, python) et un monitoring supervision : Datadog, Prometheus, Grafana,...
Sans que tu sois un(e) expert(e), tu as des connaissances en conteneurisation (Docker ou Kubernetes).

Au delà de tes compétences techniques : 

Tu vénères la méthodologie et les bonnes pratiques.
Tu souhaites partager tes connaissances, lors d’évènements internes ou en formations… mais également en recevoir de tes pairs.
D’ailleurs comme tu as soif de savoir, tu t’intéresses au quotidien à l'IT
Tu respectes tes engagements, tu remontes les infos en temps réel et tu n’as pas peur de dire que tu ne sais pas faire quelque chose.

Qu'est ce que tu aimeras chez PIT ? 

Tu travailleras avec une équipe bienveillante, aux différents profils, qui a envie de progresser ensemble
Tu auras la possibilité de télétravailler plusieurs fois par semaine
Tu pourras retrouver tes collègues à l'agence le vendredi autour d'un repas gras et d'une bonne bière.
Tu pourras également participer à des évènements organisés en interne.
Tu profiteras de l'une de nos deux terrasses ou du parc JB Lebas pour prendre un bol d'air.

Il est important pour nous que tu te sentes à ta place chez PIT, que nos valeurs et nos convictions correspondent aux tiennes.
Alors le meilleur moyen pour toi de savoir si on peut être l’entreprise de tes rêves, c’est de nous contacter.
Nous avons hâte de te rencontrer et de voir quels projets nous allons pouvoir mener.
Progress Together
#hiring #ops #jobopening
Type d'emploi : Temps plein, CDI
Salaire : à partir de 40 000,00€ par an
Programmation :

Du Lundi au Vendredi
Travail en journée

Expérience:

infrastructure: 2 ans (Optionnel)
",PostedOffre publiée il y a 3 jour,À partir de 40 000 € par anCDI +1Travail en journée +1,À partir de 40 000 € par an,https://www.indeed.com/company/PIT/jobs/Devops-f49144fe32147332?fccid=928f994f11ccae75&vjs=3
DevOps Observability F/H,Anywr,Paris 8e (75),"
Notre client est l’entreprise offrant des services d’infrastructure et de Cloud innovants, qui prend le plus rapidement de l’ampleur aujourd’hui. 
Il offre tant des services de cloud public, que d’infrastructures privées, que de serveurs partagés et que de serveurs dédiés. Cette entreprise est actuellement présente dans 160 pays, avec plus de 350 collaborateurs de 18 nationalités. 
Notre client a pour projet de créer un environnement diversifié.   L'équipe Observability PaaS construit une plateforme de surveillance tout-en-un pour fournir des tableaux de bord et des capacités d'alerte aux produits de Scaleway et aux systèmes des clients. 
En tant que DevOps Observability et sous la responsabilité du directeur de l'ingénierie vous aurez plusieurs responsabilités à savoir : 

Concevoir le produit avec vos coéquipiers. 
Être le responsable du développement, de l'exploitation et de l'optimisation du produit. 
Avoir un rôle clé dans la conception de la pile technique et la gestion du backlog du produit. 
Concevoir la pile technique 
Développer les fonctionnalités du produit 
Développer un cadre de test 
Mettre en place un processus CI/CD 
Contribuer au backlog du produit 
Réviser le travail de vos pairs




Comment savoir si ce poste est fait pour vous ?   Vous êtes DevOps Observability avec une expérience significative de 5 ans minimum. Vous avez une bonne connaissance des produits d'observabilité : Prometheus, Loki, Alertmanager, Grafana, à l'aise avec les outils collaboratifs : GitHub/GitLab, Jira, Slack et une excellente connaissance des micro services et des modèles de cloud, une familiarité avec les outils d'amélioration de la qualité(test unitaire de bout à bout) et connaissance approfondie de l'administration systèmes et réseaux. 
 Hard Skills :  

Bonne expérience en Golang et en développement backend (tout autre langage est un plus). 
Expérience avec les outils DevOps typiques : Git, CI/CD, conteneurs 

 Soft-Skills : 

Capacité à diriger une équipe extraordinaire 
Bonne maitrise de l'anglais




Notre client a pour projet de créer un environnement diversifié. Tout candidat qualifié recevra la même considération peu importe son origine, sa couleur, sa religion, son genre, son orientation sexuelle ou identité de genre, son statut marital, sa citoyenneté, son handicap ou son âge.  L'équipe Observability PaaS construit une plateforme de surveillance tout-en-un pour fournir des tableaux de bord et des capacités d'alerte à nos produits et aux systèmes des clients. 
Anywr, leader en mobilité professionnelle des Talents depuis 2012, recrute, accompagne à l’international, et forme des talents pour les entreprises du monde entier. Nous apportons des réponses innovantes aux talents dans leurs projets de mobilité et de flexibilité professionnelle via un choix unique de solutions juridiques (freelancing, portage salariale, recrutement direct, interim…). Sélectionnée parmi les 120 startups les plus prometteuses de France, nous développons une expertise reconnue dans le recrutement des talents rares sur des secteurs tendus (IT et médical notamment). Avec 16 agences dans 10 pays, Anywr bénéficie d’une présence experte et globale. Déjà plus de 30 000 talents font appel à nos services pour leur changement de vie. Anywr est une entreprise digitale innovante et responsable, engagée dans ses communautés, qui met son expertise et ses solutions au service de projets d’intégration sociale et de la diversité
",PostedAujourd'hui,,,https://www.indeed.com/rc/clk?jk=ee8249c2d8dc44b0&fccid=fdd3927a139ec9e9&vjs=3
INGENIEUR DEVOPS (H/F),Groupe Alliance,75009 Paris 9e,"Nous recherchons un Ingénieur Devops Junior pour intégrer l’un de nos clients grand compte.
Vos Missions

Déployer les moyens de supervision et de monitoring afin d’accompagner la transformation digitale
Définir et implémenter les normes et standards associés
Industrialiser les déploiements et le MCO des outils et moyens du service en intégrant les nouveaux concepts IT (Devops, agile, CI/CD, Infra as code, automatisation, ITSM)
Capacité à déployer et maintenir des outils de supervision dans un cadre technique et applicatif
Capacité à travailler en mode projet (Agile, Cycle en V) et parfois en mode run

Environnement technique : AGILE, ITSM, DEVOPS, CI/CD, INFRA AS CODE
*Votre profil*
De formation BAC +4/5 de type école d’ingénieur ou universitaire (ou équivalent acquis par l’expérience), vous avez au minimum 2 ans d’expériences en environnement Devops.Vous souhaitez développer votre savoir-faire.Vous savez apporter vos compétences au profit du collectif et avez des qualités humaines et de rigueur pour vous intégrer à une équipe projet.Au-delà des compétences techniques, nous recherchons chez nos consultants des personnalités dynamiques, dotées d’un fort niveau d’autonomie, d’un bon esprit de synthèse, d’une forte capacité d’adaptation et d’un réel sens de la communication et du service
La sociétéLe Groupe ALLIANCE a été fondé en août 1997 par Monsieur Michael MALKA, Président actuel.Dès son origine, le Groupe a proposé une offre de service basée sur l’accompagnement et la mise en œuvre de solutions innovantes dans les technologies de l’information et de la communication.Afin de répondre aux sollicitations de nos Clients tout en répondant à l’élargissement de notre chaîne de valeurs, nous nous positionnons aujourd’hui comme des experts sur 5 grandes offres de services :

SI & Digital
Big Data & Data Science
Conseil & Transformation
DevOps
Infrastructures & Production

Ainsi constitué, nous sommes à même de proposer une large gamme de services couvrant l’ensemble des besoins, des exigences, des contraintes et des solutions pour tous projets informatiques.Nous avons pour volonté d’améliorer les processus métiers que nous délivrons par un management de qualité dans le cadre d'une charte sociétale nous permettant d’organiser nos relations sociales ainsi que notre transition écologique.
Type d'emploi : Temps plein",PostedOffre publiée il y a plus de 30 jours,Temps plein,,https://www.indeed.com/company/GROUPE-ALLIANCE/jobs/Ingenieur-Devops-3e0f276082427a9a?fccid=5f3c30ca561a0c87&vjs=3
DevOps / Full remote,Sept Lieues,Télétravail,"
Fintech créée en 2019 qui propose des services innovants et un produit possédant une réelle valeur ajoutée.  Solutions utilisée par de grandes entreprises et grands comptes, plus d'un demi milliard de transactions bancaires réalisées via leur plateforme.  Contexte d'hyper-croissance te d'ouverture à l'international.  



LE POSTE / LES MISSIONS





Intégrez une équipe technique de 30 personnes divisée en 6 teams. Participer aux projets des 4 DevOps en place actuellement.  Stack : Kubernetes, Terraform et AWS





PROFIL RECHERCHÉ





Vous avez au minimum 3 ans d'expérience et une première expérience de DevOps réussie.  Vous maitrisez Kubernetes, AWS ou Terraform.  Vous êtres proactif, impliqué et aimez les challenges.



",PostedOffre publiée il y a plus de 30 jours,De 50 000 € à 80 000 € par anCDI,De 50 000 € à 80 000 € par an,https://www.indeed.com/rc/clk?jk=4c109a2fd9d5501e&fccid=d98bfa22633409bb&vjs=3
Ingénieur Devops,Groupagora,Télétravail hybride à Nantes (44),"Spécialisée dans le secteur du digital, l'entreprise accompagne ses clients dans leur processus de transformation digitale.
En continuelle recherche de solutions innovantes sur ses infrastructures systèmes, il cherche un Ingénieur Système Linux / Kubernetes F/H.
Le contexte principal du poste est un projet de modernisation de leur process CI/CD avec une migration d'environnement Docker Swarm vers Kubernetes.
L'évolution de l’infrastructure vers des solutions Cloud est aussi un sujet important actuellement.
Avec la tech Lead, vous partirez d'une feuille blanche et vous avez tout à faire et à construire, les POC sont pas à volonté mais presque.
Vous travaillerez au sein d'un environnement de plus de 250vm et d'une quinzaine de serveurs physiques.
Profil recherché:
De formation Bac +3 minimum, vous justifiez d'une expérience de 2 ans minimum en administration système et réseaux. Vous avez un profil Devops et vous souhaitez intégrer une société avec de belles perspectives d'évolution.
Compétences techniques souhaitées :- Architecture Linux/windows.- Docker, Kubernetes.- Base de données Postgresql.- Connaissance du cloud Azure.- Langages de programmation : Linux scriptshell, Python.
2 jours de télétravail possible
Type d'emploi : CDI
Salaire : 41 000,00€ à 45 000,00€ par an
Avantages :

Participation au Transport
Titre-restaurant

Programmation :

Du Lundi au Vendredi
",PostedAujourd'hui,De 41 000 € à 45 000 € par anCDIDu Lundi au Vendredi,De 41 000 € à 45 000 € par an,https://www.indeed.com/company/GROUPAGORA/jobs/Ing%C3%A9nieur-Devops-b32fa83ca3a8de7e?fccid=4526a92960fb8693&vjs=3
Administrateur / Administratrice Systèmes (IT),INFOGENE,Paris (75),"En tant qu’Administrateur(rice) Systèmes au sein de la DSI du groupe, rattaché(e) au responsable de production IT, vous aurez la charge du déploiement et de l’exploitation des matériels et systèmes (Serveurs Physiques et Virtuels, Hyperviseurs, Systèmes d’exploitation, Baies de stockage, Systèmes de sauvegarde) dans un contexte métier soumis à de fortes contraintes de disponibilité. 


A ce titre, vous interviendrez pour :
 Mettre en uvre, administrer et maintenir les serveurs d’applications et d’infrastructures sur le périmètre opérationnel et production 
Prévenir et gérer les anomalies et les pannes de fonctionnement des matériels et systèmes (incidents) 
Appliquer les éléments de la démarche qualité définie ainsi que ceux de la politique de sécurité 
Optimiser l’usage des composants 
Assurer une assistance technique 
Maintenir et faire évoluer la documentation des processus de mise en uvre, de mise à jour et d’exploitation des composants 
Suivre et mettre en uvre les échanges techniques avec les prestataires et partenaires 
Maintenir un contact permanent avec le reste de l’équipe technique pour l’exploitation et les projets, et avec les utilisateurs pour répondre aux demandes. 
Faire de la veille technologique",PostedOffre publiée il y a 24 jour,De 30 000 € à 50 000 € par anTemps plein,De 30 000 € à 50 000 € par an,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHHRM07jvZ_9CBb8QXW1-TjD3eGHqqfxA2uagtxfXOarXqP_IanWTdyjAHn3fsRSvpmyPJQn-pf6R47cLbxP5SypHya5lwacr2L6RVHnSvtnZAJmRSIjOG8g0Op7_NLrmke0Re1WMP7U0z1GHO4vX817zEFtuKB-1gATPWDnJu3xc332yO1o8_idj5dXKBWYGaupmDb0BE6-kmQ8Nj8m20VJzVdXmdXsTrBGLkgU9y30rPYT0oUbH-hoLS8yNxq5boMzqwAyrim47gUMK-YLXPnpPtthiiQMoWTPqDcJr0CZQ05rGRLulIDAE2R68ZeulLD2ij9rzTiU1RZcp0xJFk9Gqit3wm5Hd2KlgQZ1c1JfmeN-9tSM36EVcH_2iV5Ej7gOkYe22k_WuN4qpEWDBe5zP9-nWPRoOv_C9AUR2ZdHqGOLF5yaH-GNiiCluoxiRQyV8Vzd6maTYtdhw661M1IMKMlBjUdxB-DiKxSPS0Go8PGCiTYLnjSo8Izdb3c4zZ_1UHw9230rZ0-oDnLOE4-TFdm3qkLlf0XQuGMI1P98d0LLfci61YuLb8VwK494oQt-XPCXiICvElaV3753IW3QX2p1S3hjlupMDd4rNkCT6gMcS4q3hrdOkedIySYq7I8Y8dYJKThdigFOd7rkSJoWfmjlGVmc0mx9geOCXLUa3qnzLOeA2f9gjtkZcvWYUYM6dktjoR_CYAzXgVA8Oy0uqHBeNR_1cJRLQFTPB4VT0qByhApH1VshovNZglbZ2XIUlroP26XCmWJZHnx2cWQVruVgfuwG_OZVe1gIZq_z-p8lzKBuo5Ln9OODoKmjLYAa1Wxf-_Ag==&xkcb=SoA7-_M3ZBRjfpfTWh0NbzkdCdPP&p=5&fvj=0&vjs=3
Ingénieur/ Ingénieure DevOps Kubernetes (50% télétravail),EDF,Télétravail à Nanterre (92),"
Description de l'offre
Rejoins nos équipes qui développent et maintiennent les applications du Groupe EDF !
 Une direction dynamique, à l’écoute de ses équipes et avec des méthodes de travail innovantes.
 Vous rejoindrez le département qui porte les pôles de conception applicative Cloud/CaaS et la plateforme DevSecOps Groupe, nous fonctionnons en Agile à l’échelle (SAFe) afin de réconcilier l’humain avec la productivité, en favorisant la réactivité de l'équipe et en instaurant un contrôle continu de la qualité.
 Votre mission ?
 En lien avec l’ensemble des directions, vous mettrez à profit vos compétences Cloud, CaaS et Kubernetes afin de participer à la construction des architectures et éco-systèmes adaptés pour migrer les services et applications existantes vers des architectures contenairisées ou vers les clouds publics.
 Dans une logique de partenariats en interne et en lien avec l’offre de service interne DevSecOps, vous contribuerez activement à l’élaboration de la roadmap d'évolution des offres de services de contenairisation et des socles d'accès aux clouds publics.
 Vous accompagnez les équipes projets dans leurs transformations vers le Cloud, la conception d’applications en micro-services et Cloud native. Vous gérerez les incidents, les changements et mettrez à jour les référentiels et les documentations techniques. Vous mettrez en production les solutions ainsi que sur les évolutions techniques et technologies demandées.
 Et après ?
 Cette mission est un moyen idéal de montée en compétences et de progresser dans la filière numérique (pilotage, expertise, projet, management) ou vers d’autres directions du Groupe.





  Principales caractéristiques de l'offre d'emploi
 



Type de contrat : 


    cdi
   




Niveau de formation : 


    BAC +4 / BAC +5
   




Spécialité(s) : 


    Numérique et DATA
   




Pays / Région : 


    France
   




Ville : 


    NANTERRE
   


",PostedOffre publiée il y a plus de 30 jours,CDI,,https://www.indeed.com/rc/clk?jk=84244205d4d21441&fccid=0103fd28b454bd4a&vjs=3
INGÉNIEUR DEVOPS (PARIS),Training Orchestra,Paris (75),"

Dans le cadre de notre expansion, nous recherchons un Ingénieur DevOps.


 Rattaché au DSI, l’Ingénieur DevOps collabore étroitement avec les membres de l’équipe IT et avec les autres équipes de Training-Orchestra pour prendre en charge l’exploitation des plateformes SaaS et la maintenance de l’ensemble des outils informatiques de l’entreprise.



 Ces missions nécessitent notamment de :

Répondre aux demandes de service et de modification du support client ou des chefs de projets sur les applications des clients.
Assurer une surveillance en temps réel des systèmes (serveurs) et des applications pour garantir le niveau de service attendu par les clients.
Procéder à la mise à niveau des applications des clients installées dans la dernière version du logiciel.
Installer de nouvelles instances applicatives sur les plateformes SaaS.
Prendre en compte toutes les sollicitations des utilisateurs internes et en assurer les traitements.
Mettre en place des tableaux de bord de suivi des performances.
Automatiser la production et l’exploitation.
Veiller à l’efficacité permanente des systèmes de sécurité.



 Vous justifiez des compétences professionnelles suivantes :

Bac+2 ou plus
2 ans minimum d’expérience sur un poste similaire, ou une expérience entant qu’Ingénieur systèmes avec une appétence particulière pour le DevOps
Un niveau d’Anglais minimum « B2 » serait un plus
Maîtrise des outils : 
   
Architecture WEB (IIS ou Apache)
OS : Windows server 2019
BDD : SQL Server
Cloud : AZURE ou autre
Exploitation : PowerShell
ITSM : Pratiques ITIL
En plus : Microsoft Teams, Office 365 Exchange Online




Vos principales qualités pour le poste sont :

Bonne aisance relationnelle
Rigoureux(se) et appliqué(e)
Sens du service client



 Basés au centre de Paris dans le 8ème arrondissement (proche Auber – St Lazare), nous proposons un CDI dans une équipe multiculturelle à taille humaine, qui favorise l’autonomie et la proactivité !
 Nous avons à cœur la montée en compétences de nos collaborateurs afin d’améliorer leur expertise et faciliter ainsi leur évolution vers des postes stratégiques en France et à l’international.
 Poste à pourvoir rapidement (avec ou sans préavis).


 REJOIGNEZ NOTRE EQUIPE en envoyant votre candidature à r@training-orchestra.com
",PostedOffre publiée il y a plus de 30 jours,CDI,,https://www.indeed.com/rc/clk?jk=30944af8924970ef&fccid=b868e844d5ea157d&vjs=3
